MANUFACTURE,Count,YEAR
B M W ,3,1980
FORD  ,48,1980
HOLDEN,92,1980
HONDA ,24,1980
MAZDA ,12,1980
MITSUBISHI,8,1980
NISSAN,5,1980
SUBARU,2,1980
TOYOTA,38,1980
VOLKSWAGON,3,1980
B M W ,11,1981
FORD  ,65,1981
HOLDEN,96,1981
HONDA ,30,1981
MAZDA ,31,1981
MITSUBISHI,25,1981
NISSAN,5,1981
TOYOTA,58,1981
B M W ,7,1982
FORD  ,96,1982
HOLDEN,115,1982
HONDA ,18,1982
MAZDA ,27,1982
MITSUBISHI,33,1982
NISSAN,9,1982
SUBARU,3,1982
TOYOTA,88,1982
VOLKSWAGON,1,1982
B M W ,15,1983
FORD  ,115,1983
HOLDEN,113,1983
HONDA ,24,1983
MAZDA ,54,1983
MITSUBISHI,23,1983
NISSAN,26,1983
SUBARU,7,1983
TOYOTA,140,1983
VOLKSWAGON,1,1983
B M W ,17,1984
FORD  ,197,1984
HOLDEN,170,1984
HONDA ,37,1984
MAZDA ,73,1984
MITSUBISHI,54,1984
NISSAN,87,1984
SUBARU,5,1984
TOYOTA,271,1984
VOLKSWAGON,2,1984
B M W ,37,1985
FORD  ,294,1985
HOLDEN,232,1985
HONDA ,62,1985
MAZDA ,100,1985
MITSUBISHI,85,1985
NISSAN,80,1985
SUBARU,10,1985
TOYOTA,432,1985
B M W ,32,1986
FORD  ,337,1986
HOLDEN,331,1986
HONDA ,53,1986
HYNDAI,2,1986
MAZDA ,69,1986
MITSUBISHI,61,1986
NISSAN,118,1986
SUBARU,9,1986
TOYOTA,416,1986
VOLKSWAGON,1,1986
B M W ,19,1987
FORD  ,334,1987
HOLDEN,320,1987
HONDA ,64,1987
HYNDAI,6,1987
MAZDA ,50,1987
MITSUBISHI,87,1987
NISSAN,196,1987
SUBARU,11,1987
TOYOTA,343,1987
B M W ,24,1988
FORD  ,584,1988
HOLDEN,465,1988
HONDA ,286,1988
HYNDAI,9,1988
MAZDA ,110,1988
MITSUBISHI,142,1988
NISSAN,357,1988
SUBARU,15,1988
TOYOTA,560,1988
VOLKSWAGON,1,1988
B M W ,52,1989
FORD  ,703,1989
HOLDEN,621,1989
HONDA ,268,1989
HYNDAI,13,1989
MAZDA ,132,1989
MITSUBISHI,227,1989
NISSAN,448,1989
SUBARU,29,1989
TOYOTA,672,1989
VOLKSWAGON,6,1989
B M W ,51,1990
FORD  ,893,1990
HOLDEN,741,1990
HONDA ,296,1990
HYNDAI,22,1990
MAZDA ,216,1990
MITSUBISHI,300,1990
NISSAN,557,1990
SUBARU,79,1990
TOYOTA,1005,1990
VOLKSWAGON,5,1990
B M W ,61,1991
FORD  ,716,1991
HOLDEN,672,1991
HONDA ,263,1991
HYNDAI,36,1991
MAZDA ,208,1991
MITSUBISHI,315,1991
NISSAN,437,1991
SUBARU,80,1991
TOYOTA,907,1991
VOLKSWAGON,2,1991
B M W ,78,1992
FORD  ,892,1992
HOLDEN,794,1992
HONDA ,326,1992
HYNDAI,53,1992
MAZDA ,267,1992
MITSUBISHI,410,1992
NISSAN,415,1992
SUBARU,89,1992
TOYOTA,910,1992
VOLKSWAGON,1,1992
B M W ,78,1993
FORD  ,1051,1993
HOLDEN,1017,1993
HONDA ,306,1993
HYNDAI,80,1993
MAZDA ,248,1993
MITSUBISHI,554,1993
NISSAN,384,1993
SUBARU,78,1993
TOYOTA,1127,1993
VOLKSWAGON,7,1993
B M W ,130,1994
FORD  ,1422,1994
HOLDEN,1326,1994
HONDA ,436,1994
HYNDAI,1,1994
HYNDAI,162,1994
MAZDA ,295,1994
MITSUBISHI,653,1994
NISSAN,354,1994
SUBARU,79,1994
TOYOTA,1341,1994
VOLKSWAGON,17,1994
B M W ,158,1995
FORD  ,1765,1995
HOLDEN,1594,1995
HONDA ,358,1995
HYNDAI,2,1995
HYNDAI,356,1995
MAZDA ,289,1995
MITSUBISHI,670,1995
NISSAN,290,1995
SUBARU,108,1995
TOYOTA,1306,1995
VOLKSWAGON,30,1995
B M W ,149,1996
FORD  ,1891,1996
HOLDEN,1717,1996
HONDA ,397,1996
HYNDAI,1,1996
HYNDAI,471,1996
MAZDA ,318,1996
MITSUBISHI,728,1996
NISSAN,383,1996
SUBARU,79,1996
TOYOTA,1353,1996
VOLKSWAGON,37,1996
B M W ,165,1997
FORD  ,1796,1997
HOLDEN,1786,1997
HONDA ,522,1997
HYNDAI,1,1997
HYNDAI,666,1997
MAZDA ,419,1997
MITSUBISHI,1153,1997
NISSAN,418,1997
SUBARU,176,1997
TOYOTA,1607,1997
VOLKSWAGON,88,1997
B M W ,157,1998
FORD  ,1851,1998
HOLDEN,2568,1998
HONDA ,636,1998
HYNDAI,4,1998
HYNDAI,673,1998
MAZDA ,400,1998
MITSUBISHI,1129,1998
NISSAN,647,1998
SUBARU,258,1998
TOYOTA,2015,1998
VOLKSWAGON,111,1998
B M W ,195,1999
FORD  ,2113,1999
HOLDEN,2615,1999
HONDA ,743,1999
HYNDAI,2,1999
HYNDAI,649,1999
MAZDA ,375,1999
MITSUBISHI,919,1999
NISSAN,743,1999
SUBARU,312,1999
TOYOTA,1917,1999
VOLKSWAGON,116,1999
VOLKSWAGON,1,1999
B M W ,205,2000
B M W ,1,2000
FORD  ,2013,2000
HOLDEN,2768,2000
HONDA ,713,2000
HYNDAI,2,2000
HYNDAI,613,2000
MAZDA ,446,2000
MITSUBISHI,1085,2000
NISSAN,729,2000
SUBARU,362,2000
TOYOTA,2127,2000
VOLKSWAGON,142,2000
B M W ,268,2001
FORD  ,2286,2001
HOLDEN,3348,2001
HONDA ,594,2001
HYNDAI,3,2001
HYNDAI,542,2001
MAZDA ,580,2001
MITSUBISHI,1157,2001
NISSAN,719,2001
SUBARU,332,2001
TOYOTA,2206,2001
VOLKSWAGON,262,2001
B M W ,266,2002
FORD  ,2273,2002
HOLDEN,3458,2002
HONDA ,626,2002
HYNDAI,1,2002
HYNDAI,409,2002
MAZDA ,536,2002
MITSUBISHI,984,2002
NISSAN,808,2002
SUBARU,340,2002
TOYOTA,2322,2002
VOLKSWAGON,217,2002
B M W ,255,2003
FORD  ,2425,2003
HOLDEN,3320,2003
HONDA ,785,2003
HYNDAI,2,2003
HYNDAI,419,2003
MAZDA ,825,2003
MITSUBISHI,1090,2003
NISSAN,932,2003
SUBARU,381,2003
TOYOTA,2765,2003
VOLKSWAGON,228,2003
VOLKSWAGON,1,2003
B M W ,274,2004
FORD  ,2573,2004
HOLDEN,3256,2004
HONDA ,943,2004
HYNDAI,3,2004
HYNDAI,500,2004
MAZDA ,802,2004
MITSUBISHI,739,2004
NISSAN,977,2004
SUBARU,418,2004
TOYOTA,2844,2004
VOLKSWAGON,224,2004
B M W ,315,2005
FORD  ,2637,2005
HOLDEN,3237,2005
HONDA ,1255,2005
HYNDAI,3,2005
HYNDAI,587,2005
MAZDA ,1066,2005
MITSUBISHI,856,2005
NISSAN,873,2005
SUBARU,436,2005
TOYOTA,3002,2005
VOLKSWAGON,322,2005
B M W ,290,2006
FORD  ,2405,2006
HOLDEN,2565,2006
HONDA ,1309,2006
HYNDAI,1,2006
HYNDAI,507,2006
MAZDA ,913,2006
MITSUBISHI,640,2006
NISSAN,729,2006
SUBARU,453,2006
TOYOTA,2960,2006
VOLKSWAGON,361,2006
B M W ,317,2007
FORD  ,2066,2007
HOLDEN,2251,2007
HONDA ,1454,2007
HYNDAI,1,2007
HYNDAI,526,2007
MAZDA ,922,2007
MITSUBISHI,855,2007
NISSAN,668,2007
SUBARU,385,2007
TOYOTA,3048,2007
VOLKSWAGON,427,2007
VOLKSWAGON,1,2007
B M W ,271,2008
FORD  ,1990,2008
HOLDEN,1924,2008
HONDA ,1143,2008
HYNDAI,2,2008
HYNDAI,437,2008
MAZDA ,1045,2008
MITSUBISHI,1,2008
MITSUBISHI,702,2008
NISSAN,723,2008
SUBARU,359,2008
TOYOTA,3009,2008
VOLKSWAGON,429,2008
B M W ,274,2009
FORD  ,1468,2009
HOLDEN,1677,2009
HONDA ,785,2009
HYNDAI,5,2009
HYNDAI,654,2009
MAZDA ,878,2009
MITSUBISHI,615,2009
NISSAN,572,2009
SUBARU,270,2009
TOYOTA,2112,2009
VOLKSWAGON,397,2009
B M W ,256,2010
FORD  ,1690,2010
HOLDEN,1829,2010
HONDA ,694,2010
HYNDAI,1,2010
HYNDAI,714,2010
MAZDA ,990,2010
MITSUBISHI,622,2010
NISSAN,655,2010
SUBARU,281,2010
TOYOTA,2290,2010
VOLKSWAGON,470,2010
VOLKSWAGON,2,2010
B M W ,211,2011
B M W ,1,2011
FORD  ,915,2011
HOLDEN,1530,2011
HONDA ,513,2011
HYNDAI,548,2011
MAZDA ,867,2011
MITSUBISHI,477,2011
NISSAN,616,2011
SUBARU,214,2011
TOYOTA,1914,2011
VOLKSWAGON,470,2011
VOLKSWAGON,4,2011
B M W ,182,2012
FORD  ,993,2012
HOLDEN,1270,2012
HONDA ,564,2012
HYNDAI,2,2012
HYNDAI,673,2012
MAZDA ,833,2012
MITSUBISHI,373,2012
NISSAN,634,2012
SUBARU,212,2012
TOYOTA,1712,2012
VOLKSWAGON,483,2012
VOLKSWAGON,4,2012
B M W ,190,2013
FORD  ,735,2013
HOLDEN,992,2013
HONDA ,441,2013
HYNDAI,1,2013
HYNDAI,604,2013
MAZDA ,767,2013
MITSUBISHI,404,2013
NISSAN,633,2013
SUBARU,212,2013
TOYOTA,1613,2013
VOLKSWAGON,415,2013
VOLKSWAGON,1,2013
B M W ,156,2014
B M W ,1,2014
FORD  ,606,2014
HOLDEN,763,2014
HONDA ,404,2014
HYNDAI,6,2014
HYNDAI,524,2014
MAZDA ,573,2014
MITSUBISHI,365,2014
NISSAN,379,2014
SUBARU,151,2014
TOYOTA,1370,2014
VOLKSWAGON,352,2014
VOLKSWAGON,3,2014
B M W ,176,2015
FORD  ,380,2015
HOLDEN,632,2015
HONDA ,354,2015
HYNDAI,3,2015
HYNDAI,514,2015
MAZDA ,508,2015
MITSUBISHI,313,2015
NISSAN,387,2015
SUBARU,148,2015
TOYOTA,1072,2015
VOLKSWAGON,354,2015
VOLKSWAGON,1,2015
B M W ,130,2016
B M W ,1,2016
FORD  ,365,2016
HOLDEN,499,2016
HONDA ,342,2016
HYNDAI,1,2016
HYNDAI,358,2016
MAZDA ,470,2016
MITSUBISHI,259,2016
NISSAN,262,2016
SUBARU,113,2016
TOYOTA,795,2016
VOLKSWAGON,210,2016
VOLKSWAGON,2,2016
B M W ,84,2017
FORD  ,200,2017
HOLDEN,364,2017
HONDA ,275,2017
HYNDAI,267,2017
MAZDA ,309,2017
MITSUBISHI,175,2017
NISSAN,208,2017
SUBARU,92,2017
TOYOTA,568,2017
VOLKSWAGON,156,2017
VOLKSWAGON,2,2017
B M W ,61,2018
FORD  ,146,2018
HOLDEN,174,2018
HONDA ,178,2018
HYNDAI,144,2018
MAZDA ,203,2018
MITSUBISHI,104,2018
NISSAN,114,2018
SUBARU,71,2018
TOYOTA,392,2018
VOLKSWAGON,115,2018
VOLKSWAGON,1,2018
B M W ,33,2019
FORD  ,49,2019
HOLDEN,40,2019
HONDA ,98,2019
HYNDAI,68,2019
MAZDA ,62,2019
MITSUBISHI,45,2019
NISSAN,44,2019
SUBARU,28,2019
TOYOTA,132,2019
VOLKSWAGON,54,2019
B M W ,3,2020
FORD  ,1,2020
HOLDEN,2,2020
HONDA ,2,2020
HYNDAI,2,2020
MAZDA ,6,2020
NISSAN,3,2020
SUBARU,2,2020
TOYOTA,13,2020
